category,category_name
0,Airlines
1,Gambling
2,Arenas
3,Associations
4,Airports
5,Bars
6,Duty Free Shops
7,Business professional
8,Billiards clubs
9,Brokers & dealers
10,Bicycle shops
11,Video Games
12,Children's clothing
13,Doctors
14,Mobile Homes
15,Road tolls
16,Food delivery
17,Housing
18,Refueling
19,Music tools
20,Pet shops
21,Internet wallets
22,Cable
23,Campsites
24,Cinema
25,Bookstores
26,Utilities
27,Computers
28,Courier & freight
29,Cosmetics store
30,Toy stores
31,Fabric stores & sewing
32,Photos
33,Glass & glass shops
34,Art & craft stores
35,Marketing
36,Medical supplies
37,Music groups
38,Real estate
39,Plants equipment
40,Universities
41,Schools
42,Car service
43,High segment closing
44,Low segment closing
45,Middle segment closing
46,Wholesalers
47,Recreation
48,Souvenirs
49,Stationery
50,Security
51,Beauty salons
52,Parking & garages
53,Personal services
54,Programming
55,Software
56,Car sales
57,Alcohol
58,Yachts & boats
59,Mobile phones
60,Products
61,Car rental
62,General purpose goods
63,Restaurants
64,Funeral services
65,Specialty stores
66,Sportswear
67,Sports goods
68,Insurance
69,Tobacco shops
70,Taxis & public transport
71,Dance clubs
72,Theaters
73,Communication services
74,Maintenance
75,Household
76,Construction & repair
77,Tourism
78,Financial services
79,Fitness clubs
80,Floristry
81,Photo studios
82,Hosting & TV
83,Shoes cleaning
84,Textile
85,Electronic services
86,Legal services